2026-02-05T19:16:46 FALL detected roll=1.572 pitch=-0.022 yaw=-0.022
2026-02-05T19:16:46 FALL detected roll=1.572 pitch=-0.033 yaw=-0.033
2026-02-05T19:16:46 FALL detected roll=1.573 pitch=-0.041 yaw=-0.041
2026-02-05T19:16:46 FALL detected roll=1.574 pitch=-0.047 yaw=-0.047
2026-02-05T19:16:46 FALL detected roll=1.574 pitch=-0.050 yaw=-0.050
2026-02-05T19:16:46 FALL detected roll=1.574 pitch=-0.050 yaw=-0.050
2026-02-05T19:16:46 FALL detected roll=1.574 pitch=-0.048 yaw=-0.048
2026-02-05T19:16:47 FALL detected roll=1.573 pitch=-0.044 yaw=-0.044
2026-02-05T19:16:47 FALL detected roll=1.572 pitch=-0.037 yaw=-0.037
2026-02-05T19:16:47 FALL detected roll=1.569 pitch=-0.028 yaw=-0.028
2026-02-05T19:16:47 FALL detected roll=1.564 pitch=-0.015 yaw=-0.015
2026-02-05T19:16:47 FALL detected roll=1.560 pitch=0.001 yaw=0.001
2026-02-05T19:16:47 FALL detected roll=1.560 pitch=0.012 yaw=0.012
2026-02-05T19:16:47 FALL detected roll=1.560 pitch=0.021 yaw=0.021
2026-02-05T19:16:47 FALL detected roll=1.561 pitch=0.027 yaw=0.027
2026-02-05T19:16:47 FALL detected roll=1.562 pitch=0.031 yaw=0.031
2026-02-05T19:16:47 FALL detected roll=1.564 pitch=0.032 yaw=0.031
2026-02-05T19:16:47 FALL detected roll=1.570 pitch=0.029 yaw=0.029
2026-02-05T19:16:47 FALL detected roll=1.580 pitch=0.023 yaw=0.023
2026-02-05T19:16:47 FALL detected roll=1.572 pitch=0.007 yaw=0.007
2026-02-05T19:16:47 FALL detected roll=1.567 pitch=-0.008 yaw=-0.008
2026-02-05T19:16:47 FALL detected roll=1.562 pitch=-0.020 yaw=-0.019
2026-02-05T19:16:47 FALL detected roll=1.563 pitch=-0.024 yaw=-0.024
2026-02-05T19:16:47 FALL detected roll=1.566 pitch=-0.024 yaw=-0.023
2026-02-05T19:16:47 FALL detected roll=1.564 pitch=-0.020 yaw=-0.020
2026-02-05T19:16:47 FALL detected roll=1.563 pitch=-0.013 yaw=-0.013
2026-02-05T19:16:47 FALL detected roll=1.564 pitch=-0.011 yaw=-0.011
2026-02-05T19:16:47 FALL detected roll=1.567 pitch=-0.009 yaw=-0.009
2026-02-05T19:16:47 FALL detected roll=1.570 pitch=-0.008 yaw=-0.008
2026-02-05T19:16:47 FALL detected roll=1.574 pitch=-0.007 yaw=-0.007
2026-02-05T19:16:47 FALL detected roll=1.578 pitch=-0.005 yaw=-0.006
2026-02-05T19:16:47 FALL detected roll=1.583 pitch=-0.005 yaw=-0.006
2026-02-05T19:16:47 FALL detected roll=1.587 pitch=-0.006 yaw=-0.006
2026-02-05T19:16:47 FALL detected roll=1.586 pitch=-0.007 yaw=-0.007
2026-02-05T19:16:47 FALL detected roll=1.582 pitch=-0.009 yaw=-0.009
2026-02-05T19:16:47 FALL detected roll=1.576 pitch=-0.009 yaw=-0.010
2026-02-05T19:16:47 FALL detected roll=1.576 pitch=-0.006 yaw=-0.006
2026-02-05T19:16:47 FALL detected roll=1.579 pitch=-0.004 yaw=-0.004
2026-02-05T19:16:48 FALL detected roll=1.579 pitch=-0.002 yaw=-0.002
2026-02-05T19:16:48 FALL detected roll=1.578 pitch=-0.000 yaw=-0.000
2026-02-05T19:16:48 FALL detected roll=1.577 pitch=0.001 yaw=0.001
2026-02-05T19:16:48 FALL detected roll=1.578 pitch=0.000 yaw=0.000
2026-02-05T19:16:48 FALL detected roll=1.572 pitch=0.000 yaw=0.000
2026-02-05T19:16:48 FALL detected roll=1.565 pitch=0.000 yaw=0.000
2026-02-05T19:16:48 FALL detected roll=1.559 pitch=0.001 yaw=0.001
2026-02-05T19:16:48 FALL detected roll=1.555 pitch=0.002 yaw=0.002
2026-02-05T19:16:48 FALL detected roll=1.551 pitch=0.002 yaw=0.002
2026-02-05T19:16:48 FALL detected roll=1.548 pitch=0.003 yaw=0.003
2026-02-05T19:16:48 FALL detected roll=1.545 pitch=0.003 yaw=0.003
